invariably, 언제나
aberrant, 정도를 벗어난
illusory, 착까을 일으키는
outdated, 구식의
wield, 행사하다
subsequence, 연속, 이어서 일어나는 것
cognitive, 상상의
unresolved, 미결정의
emergency, 응급, 비상
