contemporary, 현대의,동시대의
susceptible to, ~에 걸리기 쉬운, 영향받기 쉬운
virtually, 사실상, 거의
decline, 쇠퇴,쇠약, 줄다,감소하다, 거절하다
diffuse, 퍼뜨리다
entail, 수반하다,일으키다, 필요로하다
heterogeneous, 잡다한, 혼성의
obsolete, 쓸모없게된, 쓰이지않는
expansive, 넓은, 광대한
aloocate, 할당하다, 배정하다
unprecedented, 전례없는, 새로운
regard, 생각하다, 관심
slight, 경미한, 하찮은
