exert, 가하다, 행사하다
discrete, 별개의
meager, 부족한
slightly, 약간, 미세하게
cornerstone, 기초, 기반
undisputed, 논쟁의 여지가없는, 모두가 인정하는
improbable, 가능하지 않는
pragmatic, 실용적인
deflect, 방향을 돌리다
