discern,"파악하다, 알아채다"
menace,위협하다
expend,"(시간, 에너지)쓰다"
divergent,다른
refute,논박하다
on the spur of  moment,충동적으로
brew,일어나려 하다
persevere,인내하며 계속하다
arouse,자극하다
unexplored,다루어지지 않은
tuned to,~과 일치된
corroborate,확증하다
inaugurate,"시작하다, 개시하다"
diversion,주의 전환물
blossom,번영하다
aggravate,악화시키다
meticulously,꼼꼼히
reciprocal,상호간의
expedite,신속하게 처리하다
resolute,확고한
