resurgence,"재기, 부활"
precarious,불안정한
incipient,초기의
eminent,뛰어난
suitable,적절한
relentless, 격렬하게 계속되는
preponderance, 대다수
vicinity,"주변, 근접"
deter,방해하다
prodigious,엄청난
ruthlessly,무자비하게
concede,"인정하다, 허락하다"
